Secteur NA38i;Secteur NA17i;Grand secteur d'activité;Grande catégorie de mesures;Catégorie / détail AG;﻿Année;Code grande catégorie de mesures;Code catégorie détail AG;Montant des exonérations
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;11_Réduction générale sur les bas salaires;2008;1;11;28101529.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;11_Réduction générale sur les bas salaires;2009;1;11;27515608.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;11_Réduction générale sur les bas salaires;2010;1;11;25552660.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;11_Réduction générale sur les bas salaires;2013;1;11;18233774.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;11_Réduction générale sur les bas salaires;2014;1;11;17242330.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;12_Aide à la RTT;2007;1;12;2549.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;13_Exonération Heures supplémentaires;2007;1;13;1969727.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;13_Exonération Heures supplémentaires;2010;1;13;8824338.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;13_Exonération Heures supplémentaires;2013;1;13;1244956.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;13_Exonération Heures supplémentaires;2017;1;13;1077339.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;13_Exonération Heures supplémentaires;2019;1;13;5194171.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;14_Crédit d'impôt compétitivité emploi;2016;1;14;31198040.52
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;14_Crédit d'impôt compétitivité emploi;2018;1;14;26679535.14
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;15_Réduction des cotisations famille;2018;1;15;10404082.436
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;15_Réduction des cotisations famille;2020;1;15;10386586.058
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;15_Réduction des cotisations famille;2021;1;15;10848917.918
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;16_Réduction des cotisations maladie;2023;1;16;33314063.26
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;19_Autres allégements généraux;2011;1;19;10293.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;1_Allégements généraux;19_Autres allégements généraux;2016;1;19;40887.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2004;2;20;785753.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2015;2;20;545368.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2016;2;20;523869.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;2_Mesures en faveur de contrats particuliers;20_Mesures en faveur de contrats particuliers;2017;2;20;533349.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2004;3;30;5218399.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2007;3;30;7502007.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2011;3;30;5483870.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2016;3;30;4860917.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2019;3;30;4451230.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;3_Mesures en faveur de zones particulières;30_Mesures en faveur de zones particulières;2023;3;30;5708272.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2012;4;40;2959.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2013;4;40;23296.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2016;4;40;34996.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2017;4;40;26810.0
BZ Industries extractives;DE Industries extractives, énergie, eau;GS1 Industrie;4_Mesures en faveur de secteurs particuliers;40_Mesures en faveur de secteurs particuliers;2019;4;40;78368.0
CA Industries agro-alimentaires;C1 Industries agro-alimentaires;GS1 Industrie;1_Allégements généraux;11_Réduction générale sur les bas salaires;2004;1;11;241905643.0
CA Industries agro-alimentaires;C1 Industries agro-alimentaires;GS1 Industrie;1_Allégements généraux;11_Réduction générale sur les bas salaires;2007;1;11;740162869.0
CA Industries agro-alimentaires;C1 Industries agro-alimentaires;GS1 Industrie;1_Allégements généraux;11_Réduction générale sur les bas salaires;2008;1;11;753876106.0
CA Industries agro-alimentaires;C1 Industries agro-alimentaires;GS1 Industrie;1_Allégements généraux;11_Réduction générale sur les bas salaires;2014;1;11;659767757.0
CA Industries agro-alimentaires;C1 Industries agro-alimentaires;GS1 Industrie;1_Allégements généraux;11_Réduction générale sur les bas salaires;2015;1;11;679189279.0
CA Industries agro-alimentaires;C1 Industries agro-alimentaires;GS1 Industrie;1_Allégements généraux;11_Réduction générale sur les bas salaires;2019;1;11;880731821.6
CA Industries agro-alimentaires;C1 Industries agro-alimentaires;GS1 Industrie;1_Allégements généraux;11_Réduction générale sur les bas salaires;2021;1;11;1015999150.0
CA Industries agro-alimentaires;C1 Industries agro-alimentaires;GS1 Industrie;1_Allégements généraux;12_Aide à la RTT;2004;1;12;419403829.0
